epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,862.13,1.65952,3.00384,1.5539,0.37424,0.40816,0.30961,0.12203,1.18969,71.9508,0.91146,0.00332752,0.00332752,0.00332752
2,1467.32,1.67497,2.03307,1.51629,0.52432,0.47619,0.4165,0.17179,1.04238,43.8501,0.87439,0.00659491,0.00659491,0.00659491
3,2136.42,1.72203,1.85565,1.55857,0.42696,0.32653,0.32669,0.14037,1.19373,30.8248,0.93178,0.0097963,0.0097963,0.0097963
4,2771.88,1.75101,1.81531,1.58785,0.53058,0.48442,0.50161,0.23321,1.13365,8.52062,0.90769,0.009703,0.009703,0.009703
5,3301.53,1.689,1.69535,1.53977,0.59352,0.55626,0.59099,0.25763,1.11434,8.01068,0.85683,0.009604,0.009604,0.009604
6,3834.29,1.65187,1.61513,1.49959,0.61564,0.68707,0.64532,0.29118,1.06951,3.89745,0.81162,0.009505,0.009505,0.009505
7,4355.76,1.62668,1.56958,1.47977,0.6859,0.57823,0.6108,0.25685,1.10434,1.64064,0.8365,0.009406,0.009406,0.009406
8,4881.16,1.59908,1.52694,1.45603,0.64172,0.63361,0.66919,0.28913,1.0593,3.21398,0.82818,0.009307,0.009307,0.009307
9,5425.5,1.57323,1.48918,1.44076,0.68296,0.63265,0.6946,0.32533,1.04165,2.57495,0.81774,0.009208,0.009208,0.009208
10,6111.38,1.56718,1.46508,1.42717,0.71119,0.56956,0.67417,0.31879,1.00503,2.3847,0.80911,0.009109,0.009109,0.009109
11,6630.83,1.55349,1.44859,1.42071,0.6975,0.70748,0.72473,0.35021,1.04145,1.17924,0.80379,0.00901,0.00901,0.00901
12,7155.61,1.54196,1.41803,1.41564,0.73147,0.64857,0.69974,0.34996,1.00055,3.92685,0.78141,0.008911,0.008911,0.008911
13,7683.2,1.5333,1.41369,1.40641,0.64878,0.67347,0.72819,0.35678,1.02883,2.50114,0.78468,0.008812,0.008812,0.008812
14,8213.46,1.5275,1.39802,1.39748,0.78764,0.68126,0.73907,0.35303,0.98886,2.94802,0.75157,0.008713,0.008713,0.008713
15,8736.41,1.51067,1.37216,1.38897,0.74548,0.70748,0.72907,0.35656,1.04538,1.4225,0.78179,0.008614,0.008614,0.008614
16,9434.95,1.50695,1.3656,1.38638,0.74449,0.70748,0.72741,0.37186,0.99177,1.91026,0.74835,0.008515,0.008515,0.008515
17,10075.4,1.50402,1.35578,1.3823,0.70223,0.73469,0.75364,0.37958,0.95308,1.82447,0.74094,0.008416,0.008416,0.008416
18,10630.9,1.4893,1.33126,1.3753,0.78756,0.64626,0.7499,0.37892,1.00847,1.41718,0.76695,0.008317,0.008317,0.008317
19,11204.2,1.48575,1.32746,1.37212,0.78651,0.7268,0.80985,0.3977,1.01492,2.04934,0.7595,0.008218,0.008218,0.008218
20,11727.3,1.47809,1.32021,1.36267,0.77144,0.73469,0.77701,0.40314,0.97968,1.80199,0.74862,0.008119,0.008119,0.008119
21,12251,1.47448,1.30977,1.35679,0.75558,0.69397,0.78052,0.40781,0.96752,1.63272,0.74703,0.00802,0.00802,0.00802
22,12919.6,1.475,1.29951,1.35721,0.7898,0.71571,0.77839,0.39137,0.95832,1.54106,0.73793,0.007921,0.007921,0.007921
23,13712.9,1.46694,1.29454,1.35398,0.78114,0.77551,0.82372,0.42913,0.96593,1.26631,0.73501,0.007822,0.007822,0.007822
24,14224.9,1.46147,1.29743,1.34983,0.78219,0.76871,0.80833,0.43117,0.94029,1.11706,0.7293,0.007723,0.007723,0.007723
25,14743.9,1.4501,1.27067,1.3433,0.82675,0.74663,0.8076,0.42474,0.94418,1.94752,0.72682,0.007624,0.007624,0.007624
26,15271.3,1.44887,1.27516,1.34754,0.80626,0.73609,0.80643,0.43003,0.9341,1.43685,0.72433,0.007525,0.007525,0.007525
